3.263383e-06+0.000000e+00i 1.978550e-06+0.000000e+00i
3.283909e-06+0.000000e+00i 2.014335e-06+0.000000e+00i
3.284715e-06+0.000000e+00i 1.976744e-06+0.000000e+00i
3.268037e-06+0.000000e+00i 2.025963e-06+0.000000e+00i
3.315900e-06+0.000000e+00i 1.968637e-06+0.000000e+00i
3.240461e-06+0.000000e+00i 2.023908e-06+0.000000e+00i
3.346646e-06+0.000000e+00i 1.986878e-06+0.000000e+00i
3.239643e-06+0.000000e+00i 2.006372e-06+0.000000e+00i
3.283182e-06+0.000000e+00i 1.999787e-06+0.000000e+00i
3.290253e-06+0.000000e+00i 1.980862e-06+0.000000e+00i
3.283040e-06+0.000000e+00i 2.024513e-06+0.000000e+00i
3.327775e-06+0.000000e+00i 1.973023e-06+0.000000e+00i
3.219219e-06+0.000000e+00i 2.019090e-06+0.000000e+00i
3.344263e-06+0.000000e+00i 1.969588e-06+0.000000e+00i
3.250803e-06+0.000000e+00i 2.021655e-06+0.000000e+00i
3.316264e-06+0.000000e+00i 1.995595e-06+0.000000e+00i
3.268113e-06+0.000000e+00i 2.001067e-06+0.000000e+00i
3.274395e-06+0.000000e+00i 2.009462e-06+0.000000e+00i
3.312812e-06+0.000000e+00i 1.968657e-06+0.000000e+00i
3.270015e-06+0.000000e+00i 2.029852e-06+0.000000e+00i
3.325820e-06+0.000000e+00i 1.994006e-06+0.000000e+00i
3.230742e-06+0.000000e+00i 1.994488e-06+0.000000e+00i
3.346367e-06+0.000000e+00i 1.988739e-06+0.000000e+00i
3.259462e-06+0.000000e+00i 1.993332e-06+0.000000e+00i
3.317191e-06+0.000000e+00i 2.016612e-06+0.000000e+00i
3.285233e-06+0.000000e+00i 1.983521e-06+0.000000e+00i
3.257742e-06+0.000000e+00i 2.031609e-06+0.000000e+00i
3.324514e-06+0.000000e+00i 1.955753e-06+0.000000e+00i
3.258299e-06+0.000000e+00i 2.028736e-06+0.000000e+00i
3.333544e-06+0.000000e+00i 1.998647e-06+0.000000e+00i
3.252461e-06+0.000000e+00i 1.990894e-06+0.000000e+00i
3.297567e-06+0.000000e+00i 1.988181e-06+0.000000e+00i
3.285996e-06+0.000000e+00i 1.992316e-06+0.000000e+00i
3.293441e-06+0.000000e+00i 2.033299e-06+0.000000e+00i
3.297585e-06+0.000000e+00i 1.961800e-06+0.000000e+00i
3.281266e-06+0.000000e+00i 2.015734e-06+0.000000e+00i
3.314047e-06+0.000000e+00i 1.984450e-06+0.000000e+00i
3.300954e-06+0.000000e+00i 2.024456e-06+0.000000e+00i
3.303546e-06+0.000000e+00i 1.988483e-06+0.000000e+00i
3.277183e-06+0.000000e+00i 1.988242e-06+0.000000e+00i
3.281135e-06+0.000000e+00i 2.008331e-06+0.000000e+00i
3.331095e-06+0.000000e+00i 1.996293e-06+0.000000e+00i
3.271715e-06+0.000000e+00i 2.004038e-06+0.000000e+00i
3.316309e-06+0.000000e+00i 1.994106e-06+0.000000e+00i
3.270855e-06+0.000000e+00i 2.002214e-06+0.000000e+00i
3.303213e-06+0.000000e+00i 1.978267e-06+0.000000e+00i
3.322208e-06+0.000000e+00i 2.025862e-06+0.000000e+00i
3.283088e-06+0.000000e+00i 2.013084e-06+0.000000e+00i
3.319368e-06+0.000000e+00i 1.968095e-06+0.000000e+00i
3.269865e-06+0.000000e+00i 2.009720e-06+0.000000e+00i
3.346805e-06+0.000000e+00i 1.994890e-06+0.000000e+00i
3.297224e-06+0.000000e+00i 1.993269e-06+0.000000e+00i
3.296842e-06+0.000000e+00i 2.012246e-06+0.000000e+00i
3.308252e-06+0.000000e+00i 1.975242e-06+0.000000e+00i
3.301750e-06+0.000000e+00i 2.024358e-06+0.000000e+00i
3.298197e-06+0.000000e+00i 1.991125e-06+0.000000e+00i
3.334888e-06+0.000000e+00i 1.999795e-06+0.000000e+00i
